"Employee External Id","Employee Username","Employee Employee Id","Employee EIN Name","Date","Shift Number","Schedule Type Name","Daily Rule Type Name","Start Time","Start Time Max","End Time","End Time Max","Total Hours","Standard Total Hours","Lunch Min Time","Lunch Max Time","Lunch Paid Time","Lunch Start At","Lunch Start After","Shift Premium","Cost Center 1 External Id","Cost Center 1 Name","Cost Center 2 External Id","Cost Center 2 Name","Cost Center 3 External Id","Cost Center 3 Name","Cost Center 4 External Id","Cost Center 4 Name","Cost Center 5 External Id","Cost Center 5 Name","Cost Center 6 External Id","Cost Center 6 Name","Cost Center 7 External Id","Cost Center 7 Name","Cost Center 8 External Id","Cost Center 8 Name","Cost Center 9 External Id","Cost Center 9 Name","Job External Id","Job Name","Workday Breakdown","Day Type","Is Working"
"","","7602","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8066","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1988","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","999999","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10053","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10673","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14230","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10602","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13786","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8503","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11296","","09/30/2020","","Floating","","11:36 AM","2:00 PM","","","00:02","","","","","","","","","","","","","HUEYTOWN FOODLAND #446, 2710 19TH STREET NORTH, HUEYTOWN, AL","","","","","","","","","","","","","","","","",""
"","","11296","","09/30/2020","","Floating","","7:00 AM","7:00 AM","","","00:02","","","","","","","","","","","","","FOOD GIANT #403, 145 HUEYTOWN PLAZA, HUEYTOWN, AL","","","","","","","","","","","","","","","","",""
"","","12324","","09/30/2020","","Floating","","11:36 AM","2:00 PM","","","00:02","","","","","","","","","","","","","HUEYTOWN FOODLAND #446, 2710 19TH STREET NORTH, HUEYTOWN, AL","","","","","","","","","","","","","","","","",""
"","","12324","","09/30/2020","","Floating","","7:00 AM","7:00 AM","","","00:02","","","","","","","","","","","","","FOOD GIANT #403, 145 HUEYTOWN PLAZA, HUEYTOWN, AL","","","","","","","","","","","","","","","","",""
"","","9239","","09/30/2020","","Floating","","11:36 AM","2:00 PM","","","00:02","","","","","","","","","","","","","HUEYTOWN FOODLAND #446, 2710 19TH STREET NORTH, HUEYTOWN, AL","","","","","","","","","","","","","","","","",""
"","","9239","","09/30/2020","","Floating","","7:00 AM","7:00 AM","","","00:02","","","","","","","","","","","","","FOOD GIANT #403, 145 HUEYTOWN PLAZA, HUEYTOWN, AL","","","","","","","","","","","","","","","","",""
"","","14476","","09/30/2020","","Floating","","4:36 AM","6:00 AM","","","00:01","","","","","","","","","","","","","ROUSES MARKET #52, 112 SARALAND LOOP, SARALAND, AL","","","","","","","","","","","","","","","","",""
"","","2725","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11114","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14016","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14360","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14022","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14243","","09/30/2020","","Floating","","5:08 AM","8:00 AM","","","00:01","","","","","","","","","","","","","GREERS #10, 400 CRAWFORD ST, Millry, AL","","","","","","","","","","","","","","","","",""
"","","6945","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14297","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10640","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14349","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9505","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14493","","09/30/2020","","Floating","","4:36 AM","6:00 AM","","","00:01","","","","","","","","","","","","","ROUSES MARKET #52, 112 SARALAND LOOP, SARALAND, AL","","","","","","","","","","","","","","","","",""
"","","14053","","09/30/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
