"Employee External Id","Employee Username","Employee Employee Id","Employee EIN Name","Date","Shift Number","Schedule Type Name","Daily Rule Type Name","Start Time","Start Time Max","End Time","End Time Max","Total Hours","Standard Total Hours","Lunch Min Time","Lunch Max Time","Lunch Paid Time","Lunch Start At","Lunch Start After","Shift Premium","Cost Center 1 External Id","Cost Center 1 Name","Cost Center 2 External Id","Cost Center 2 Name","Cost Center 3 External Id","Cost Center 3 Name","Cost Center 4 External Id","Cost Center 4 Name","Cost Center 5 External Id","Cost Center 5 Name","Cost Center 6 External Id","Cost Center 6 Name","Cost Center 7 External Id","Cost Center 7 Name","Cost Center 8 External Id","Cost Center 8 Name","Cost Center 9 External Id","Cost Center 9 Name","Job External Id","Job Name","Workday Breakdown","Day Type","Is Working"
"","","7602","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8066","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1988","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","999999","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10673","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14230","","11/02/2020","","Floating","","","5:00 AM","","","00:01","","","","","","","","","","","","","HARVEYS #1682, 1631 GORDON HIGHWAY, AUGUSTA, GA","","","","","","","","","","","","","","","","",""
"","","10602","","11/02/2020","","Floating","","3:33 AM","5:00 AM","","","00:01","","","","","","","","","","","","","WINN DIXIE #1590, 17682 AIRLINE HIGHWAY, PRAIRIEVILLE, LA","","","","","","","","","","","","","","","","",""
"","","6447","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13786","","11/02/2020","","Floating","","","5:00 AM","","","00:01","","","","","","","","","","","","","HARVEYS #1682, 1631 GORDON HIGHWAY, AUGUSTA, GA","","","","","","","","","","","","","","","","",""
"","","8503","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12324","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9239","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14476","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","2725","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11114","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14360","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14022","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14243","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6945","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14297","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10640","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9505","","11/02/2020","","Floating","","4:39 AM","5:00 AM","","","00:01","","","","","","","","","","","","","WINN DIXIE #1590, 17682 AIRLINE HIGHWAY, PRAIRIEVILLE, LA","","","","","","","","","","","","","","","","",""
"","","14493","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11807","","11/02/2020","","Floating","","","11:00 AM","","","00:02","","","","","","","","","","","","","EDEN FRESH MARKET, 12160 COUNTY LINE ROAD, FAYETTEVILLE, GA","","","","","","","","","","","","","","","","",""
"","","11807","","11/02/2020","","Floating","","6:00 AM","6:00 AM","","","00:02","","","","","","","","","","","","","WAYFIELD S #01, 8777 TARA BLVD., JONESBORO, GA","","","","","","","","","","","","","","","","",""
"","","13804","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14382","","11/02/2020","","Floating","","","5:00 AM","","","00:01","","","","","","","","","","","","","HARVEYS #1682, 1631 GORDON HIGHWAY, AUGUSTA, GA","","","","","","","","","","","","","","","","",""
"","","9167","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12516","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8824","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6182","","11/02/2020","","Floating","","","5:00 AM","","","00:01","","","","","","","","","","","","","HARVEYS #1682, 1631 GORDON HIGHWAY, AUGUSTA, GA","","","","","","","","","","","","","","","","",""
"","","1732","","11/02/2020","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7827","","11/02/2020","","Floating","","","5:00 AM","","","00:01","","","","","","","","","","","","","HARVEYS #1682, 1631 GORDON HIGHWAY, AUGUSTA, GA","","","","","","","","","","","","","","","","",""
"","","13928","","11/02/2020","","Floating","","","11:00 AM","","","00:02","","","","","","","","","","","","","EDEN FRESH MARKET, 12160 COUNTY LINE ROAD, FAYETTEVILLE, GA","","","","","","","","","","","","","","","","",""
"","","13928","","11/02/2020","","Floating","","6:00 AM","6:00 AM","","","00:02","","","","","","","","","","","","","WAYFIELD S #01, 8777 TARA BLVD., JONESBORO, GA","","","","","","","","","","","","","","","","",""
