"Employee External Id","Employee Username","Employee Employee Id","Employee EIN Name","Date","Shift Number","Schedule Type Name","Daily Rule Type Name","Start Time","Start Time Max","End Time","End Time Max","Total Hours","Standard Total Hours","Lunch Min Time","Lunch Max Time","Lunch Paid Time","Lunch Start At","Lunch Start After","Shift Premium","Cost Center 1 External Id","Cost Center 1 Name","Cost Center 2 External Id","Cost Center 2 Name","Cost Center 3 External Id","Cost Center 3 Name","Cost Center 4 External Id","Cost Center 4 Name","Cost Center 5 External Id","Cost Center 5 Name","Cost Center 6 External Id","Cost Center 6 Name","Cost Center 7 External Id","Cost Center 7 Name","Cost Center 8 External Id","Cost Center 8 Name","Cost Center 9 External Id","Cost Center 9 Name","Job External Id","Job Name","Workday Breakdown","Day Type","Is Working"
"","","7602","","05/18/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8066","","05/18/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1988","","05/18/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","999999","","05/18/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10673","","05/18/2021","","Floating","","6:17 AM","07:00:00","","","00:03","","","","","","","","","","","","","FRED HEADLEY S #2, 12771 COUNTY ROAD 42, JEMISON, AL","","","","","","","","","","","","","","","","",""
"","","10673","","05/18/2021","","Floating","","10:00:00","10:00:00","","","00:03","","","","","","","","","","","","","FRED HEADLEY S #3, 3300 LAY DAM ROAD, CLANTON, AL","","","","","","","","","","","","","","","","",""
"","","14230","","05/18/2021","","Floating","","5:21 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #425, 5928 ZEBULON RD., MACON, GA","","","","","","","","","","","","","","","","",""
"","","10602","","05/18/2021","","Floating","","4:50 AM","05:00:00","","","00:01","","","","","","","","","","","","","WINN DIXIE #1577, 13002 COURSEY BLVD., BATON ROUGE, LA","","","","","","","","","","","","","","","","",""
"","","6447","","05/18/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13786","","05/18/2021","","Floating","","5:21 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #425, 5928 ZEBULON RD., MACON, GA","","","","","","","","","","","","","","","","",""
"","","12324","","05/18/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9239","","05/18/2021","","Floating","","4:51 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #621, 3700 SALEM ROAD, covington, GA","","","","","","","","","","","","","","","","",""
