"Employee External Id","Employee Username","Employee Employee Id","Employee EIN Name","Date","Shift Number","Schedule Type Name","Daily Rule Type Name","Start Time","Start Time Max","End Time","End Time Max","Total Hours","Standard Total Hours","Lunch Min Time","Lunch Max Time","Lunch Paid Time","Lunch Start At","Lunch Start After","Shift Premium","Cost Center 1 External Id","Cost Center 1 Name","Cost Center 2 External Id","Cost Center 2 Name","Cost Center 3 External Id","Cost Center 3 Name","Cost Center 4 External Id","Cost Center 4 Name","Cost Center 5 External Id","Cost Center 5 Name","Cost Center 6 External Id","Cost Center 6 Name","Cost Center 7 External Id","Cost Center 7 Name","Cost Center 8 External Id","Cost Center 8 Name","Cost Center 9 External Id","Cost Center 9 Name","Job External Id","Job Name","Workday Breakdown","Day Type","Is Working"
"","","7602","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8066","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1988","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","999999","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10673","","01/11/2021","","Floating","","4:34 AM","06:00:00","","","00:01","","","","","","","","","","","","","DIRT CHEAP #215, 3225 RAINBOW DR, RAINBOW CITY, AL","","","","","","","","","","","","","","","","",""
"","","14230","","01/11/2021","","Floating","","3:24 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #616, 4815 RIDGE ROAD, DOUGLASVILLE, GA","","","","","","","","","","","","","","","","",""
"","","10602","","01/11/2021","","Floating","","03:16 AM","06:00:00","","","00:01","","","","","","","","","","","","","DIRT CHEAP BUILDING SUPPLIES #048, 1000 ROMA AVE - ST B, HAM","","","","","","","","","","","","","","","","",""
"","","6447","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13786","","01/11/2021","","Floating","","3:24 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #616, 4815 RIDGE ROAD, DOUGLASVILLE, GA","","","","","","","","","","","","","","","","",""
"","","11296","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12324","","01/11/2021","","Floating","","5:19 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #467, 227 SANDY SPRINGS PLACE, SANDY SPRINGS, GA","","","","","","","","","","","","","","","","",""
"","","9239","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14476","","01/11/2021","","Floating","","3:45 AM","06:00:00","","","00:01","","","","","","","","","","","","","DIRT CHEAP #038, 19099 PINEVILLE RD - ST D-1, LONG BEACH, MS","","","","","","","","","","","","","","","","",""
"","","2725","","01/11/2021","","Floating","","3:24 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #616, 4815 RIDGE ROAD, DOUGLASVILLE, GA","","","","","","","","","","","","","","","","",""
"","","11114","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14360","","01/11/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
