"Employee External Id","Employee Username","Employee Employee Id","Employee EIN Name","Date","Shift Number","Schedule Type Name","Daily Rule Type Name","Start Time","Start Time Max","End Time","End Time Max","Total Hours","Standard Total Hours","Lunch Min Time","Lunch Max Time","Lunch Paid Time","Lunch Start At","Lunch Start After","Shift Premium","Cost Center 1 External Id","Cost Center 1 Name","Cost Center 2 External Id","Cost Center 2 Name","Cost Center 3 External Id","Cost Center 3 Name","Cost Center 4 External Id","Cost Center 4 Name","Cost Center 5 External Id","Cost Center 5 Name","Cost Center 6 External Id","Cost Center 6 Name","Cost Center 7 External Id","Cost Center 7 Name","Cost Center 8 External Id","Cost Center 8 Name","Cost Center 9 External Id","Cost Center 9 Name","Job External Id","Job Name","Workday Breakdown","Day Type","Is Working"
"","","7602","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8066","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","1988","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","999999","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10673","","02/02/2021","","Floating","","2:08 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","14230","","02/02/2021","","Floating","","3:55 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","10602","","02/02/2021","","Floating","","3:32 AM","05:00:00","","","00:01","","","","","","","","","","","","","WINN DIXIE #1411, 5901 AIRLINE HIGHWAY, METAIRIE, LA","","","","","","","","","","","","","","","","",""
"","","6447","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13786","","02/02/2021","","Floating","","3:55 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","12324","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9239","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14476","","02/02/2021","","Floating","","7:00 AM","08:00:00","","","00:01","","","","","","","","","","","","","GREERS #34, 21951 AL-59, ROBERTSDALE, AL","","","","","","","","","","","","","","","","",""
"","","2725","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","11114","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14360","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14243","","02/02/2021","","Floating","","7:00 AM","08:00:00","","","00:01","","","","","","","","","","","","","GREERS #34, 21951 AL-59, ROBERTSDALE, AL","","","","","","","","","","","","","","","","",""
"","","6945","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14297","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10640","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9505","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14493","","02/02/2021","","Floating","","7:00 AM","08:00:00","","","00:01","","","","","","","","","","","","","GREERS #34, 21951 AL-59, ROBERTSDALE, AL","","","","","","","","","","","","","","","","",""
"","","11807","","02/02/2021","","Floating","","5:10 AM","05:45:00","","","00:02","","","","","","","","","","","","","KROGER #364, 2685 METROPOLTIAN PARKWAY, ATLANTA, GA","","","","","","","","","","","","","","","","",""
"","","11807","","02/02/2021","","Floating","","21:30:00","21:30:00","","","00:02","","","","","","","","","","","","","TRADER JOES #751, 59 WOODRUFF INDUSTRIAL LANE, GREENVILLE, S","","","","","","","","","","","","","","","","",""
"","","13804","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14382","","02/02/2021","","Floating","","3:55 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","9167","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12516","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8824","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6182","","02/02/2021","","Floating","","3:55 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","1732","","02/02/2021","","Floating","","3:55 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","7827","","02/02/2021","","Floating","","3:55 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","13928","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7058","","02/02/2021","","Floating","","3:32 AM","05:00:00","","","00:01","","","","","","","","","","","","","WINN DIXIE #1411, 5901 AIRLINE HIGHWAY, METAIRIE, LA","","","","","","","","","","","","","","","","",""
"","","8580","","02/02/2021","","Floating","","7:00 AM","08:00:00","","","00:01","","","","","","","","","","","","","GREERS #34, 21951 AL-59, ROBERTSDALE, AL","","","","","","","","","","","","","","","","",""
"","","14485","","02/02/2021","","Floating","","3:32 AM","05:00:00","","","00:01","","","","","","","","","","","","","WINN DIXIE #1411, 5901 AIRLINE HIGHWAY, METAIRIE, LA","","","","","","","","","","","","","","","","",""
"","","13985","","02/02/2021","","Floating","","3:55 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","11262","","02/02/2021","","Floating","","2:08 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","12092","","02/02/2021","","Floating","","3:55 AM","05:45:00","","","00:01","","","","","","","","","","","","","KROGER #631, 2460 ENTERPRISE DRIVE, OPELIKA, AL","","","","","","","","","","","","","","","","",""
"","","12623","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14466","","02/02/2021","","Floating","","2:32 AM","07:00:00","","","02:03","","","","","","","","","","","","","SPRINTMART #2319, 3809 HWY 69, GUNTERSVILLE, AL","","","","","","","","","","","","","","","","",""
"","","14466","","02/02/2021","","Floating","","10:30:00","10:30:00","","","02:03","","","","","","","","","","","","","SPRINTMART #2320, 12985 HWY 431 S, GUNTERSVILLE, AL","","","","","","","","","","","","","","","","",""
"","","13399","","02/02/2021","","Floating","","7:00 AM","08:00:00","","","00:01","","","","","","","","","","","","","GREERS #34, 21951 AL-59, ROBERTSDALE, AL","","","","","","","","","","","","","","","","",""
"","","12906","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13268","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13566","","02/02/2021","","No Schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10052","","02/02/2021","","Floating","","5:20 AM","07:00:00","","","02:03","","","","","","","","","","","","","SPRINTMART #2323, 1004 HWY 431, BOAZ, AL","","","","","","","","","","","","","","","","",""
"","","10052","","02/02/2021","","Floating","","09:15:00","09:15:00","","","02:03","","","","","","","","","","","","","SPRINTMART #2321, 687 AL HWY 75 N, ALBERTVILLE, AL","","","","","","","","","","","","","","","","",""
"","","13423","","02/02/2021","","Floating","","6:15 PM","00:30:00","","","02:03","","","","","","","","","","","","","SPRINTMART #2061, 8212 BAILEY COVE RD, HUNTSVILLE, AL","","","","","","","","","","","","","","","","",""
